"Sync Date Range","Intervallo di sincronizzazione"
From,Da
To,A
"Transaction sync is now enabled.","La sincronizzazione automatica delle transazioni è attiva."
"Taxdoo Authentication failed.","Autenticazione su Taxdoo fallita."
"Your Taxdoo API token is invalid. Please review your Taxdoo account at %1.","Il tuo Token API per Taxdoo non è valido. Controlla il tuo account a %1."
"Not found -- Your request path is wrong","Not found -- Your request path is wrong"
"Bad request","Bad request"
"Too many requests. Are you trying DOS or not respecting Taxdoo's Rate Limits","Troppe richieste. Stai cercando di fare un attacco DOS, o forse non rispettando i limiti di Taxdoo?"
"Internal Server Error. Get in touch with Taxdoo","Errore del server. Mettiti in contatto con Taxdoo"
"Service unavailable. Please try again later","Il servizio non è al momento disponibile. Riprova più tardi"
"Could not connect to Taxdoo.","Impossibile connettersi a Taxdoo."
"Could not write to your Magento log directory under /var/log. Please make sure the directory is created and check permissions for %1.","Non è stato possibile scrivere nella cartella dei log /var/log. Verifica che essa esista e controlla i permessi di %1."
"Could not sync transactions with Taxdoo. Please make sure you have an API key.","Impossibile sincronizzare le transazioni con Taxdoo. Controlla di avere inserito la tua chiave API."
"To date can't be earlier than from date.","La data finale non può essere precedente a quella iniziale."
"Order successfully synced to Taxdoo.","L'ordine è stato sincronizzato con Taxdoo."
"This order was not synced to Taxdoo.","L'ordine non è stato sincronizzato con Taxdoo."
"Taxdoo seems to have accepted your API Token. Is this your Taxdoo email? ","Taxdoo ha accettato il Token. Verifica che il seguente indirizzo email sia il tuo:"
"The Taxdoo API Token seems to be wrong. You can find the correct one in the ","Il Token che hai inserito non è stato accettato. Troverai quello corretto nel "
"Taxdoo Dashbaord","Dashboard di Taxdoo"
". ' account'",". ' account'"
". ' ' .",". ' ' ."
"Sandbox mode is enabled for sales tax calculations. We recommend only using this mode in a staging environment. Some features may not work as expected.","La modalità sandbox è attiva. Andrebbe utilizzata solo in un ambiente di staging. Alcune features potrebbero non funzionare come previsto."
"Learn more","Scopri di più"
"Order Synced to Taxdoo","Ordine sincronizzato con Taxdoo"
"Credit Memo Synced to Taxdoo","Rimborso sincronizzato con Taxdoo"
"Synced to Taxdoo","Sincronizzato con Taxdoo"
"Sync Transactions","Sincronizza le transazioni"
"Sync to Taxdoo","Sincronizza con Taxdoo"
"Taxdoo VAT Automation","Taxdoo VAT Automation"
"Enable the Taxdoo Module","Abilita il modulo Taxdoo"
"API Token","API Token"
"Enable Sandbox","Abilita la modalità Sandbox"
"Transaction Sync","Sincronizza le transazioni"
